Fichier	Complexité en temps	Complexité en espace	Niveau difficulté
../corpus_annote2/recette_43990_annote.xml	47.3	5	3
../corpus_annote2/recette_42702_annote.xml	25.0	7	1
../corpus_annote2/recette_70219_annote.xml	70.5	7	2
../corpus_annote2/recette_18724_annote.xml	29.6	4	3
../corpus_annote2/recette_25820_annote.xml	2.5	2	1
../corpus_annote2/recette_55121_annote.xml	21.53	2	1
../corpus_annote2/recette_218870_annote.xml	15.0	3	1
../corpus_annote2/recette_194987_annote.xml	54.9	11	3
../corpus_annote2/recette_84455_annote.xml	24.6	8	2
../corpus_annote2/recette_22774_annote.xml	13.7	4	1
../corpus_annote2/recette_19027_annote.xml	6.5	1	1
../corpus_annote2/recette_83290_annote.xml	24.46	3	2
../corpus_annote2/recette_27009_annote.xml	54.5	7	1
../corpus_annote2/recette_58608_annote.xml	10.5	3	1
../corpus_annote2/recette_30335_annote.xml	19.200000000000003	4	1
../corpus_annote2/recette_59414_annote.xml	30.7	7	2
../corpus_annote2/recette_195568_annote.xml	19.5	5	2
../corpus_annote2/recette_85434_annote.xml	25.0	6	2
../corpus_annote2/recette_29484_annote.xml	46.31	4	2
../corpus_annote2/recette_15512_annote.xml	32.0	4	1
../corpus_annote2/recette_28698_annote.xml	35.7	3	2
../corpus_annote2/recette_211845_annote.xml	26.8	5	2
../corpus_annote2/recette_18046_annote.xml	42.519999999999996	5	2
../corpus_annote2/recette_168473_annote.xml	33.0	9	2
../corpus_annote2/recette_173007_annote.xml	42.5	10	2
../corpus_annote2/recette_56285_annote.xml	29.5	7	2
../corpus_annote2/recette_55643_annote.xml	33.5	4	2
../corpus_annote2/recette_81637_annote.xml	21.06	2	2
../corpus_annote2/recette_27998_annote.xml	27.6	4	3
../corpus_annote2/recette_27516_annote.xml	22.509999999999998	4	1
../corpus_annote2/recette_62658_annote.xml	19.0	3	1
../corpus_annote2/recette_58317_annote.xml	16.5	7	1
../corpus_annote2/recette_52086_annote.xml	53.9	5	1
../corpus_annote2/recette_31436_annote.xml	314.01	6	1
../corpus_annote2/recette_176018_annote.xml	20.0	5	2
../corpus_annote2/recette_39462_annote.xml	29.849999999999998	6	1
../corpus_annote2/recette_84337_annote.xml	49.900000000000006	9	1
../corpus_annote2/recette_22016_annote.xml	35.5	10	2
../corpus_annote2/recette_217983_annote.xml	20.2	6	2
../corpus_annote2/recette_18559_annote.xml	13.5	5	1
../corpus_annote2/recette_19745_annote.xml	64.7	5	1
../corpus_annote2/recette_72396_annote.xml	10.5	5	1
../corpus_annote2/recette_54468_annote.xml	14.0	7	1
../corpus_annote2/recette_42548_annote.xml	15.3	5	1
../corpus_annote2/recette_165881_annote.xml	34.1	7	1
../corpus_annote2/recette_70053_annote.xml	6.5	2	1
